Date,Open,High,Low,Close,Adj Close,Volume
2024-03-13,39054.578125,39201.941406,38937.921875,39043.320313,39043.320313,330930000
2024-03-14,39122.390625,39160.25,38704.359375,38905.660156,38905.660156,375810000
2024-03-15,38809.648438,38928.128906,38618.199219,38714.769531,38714.769531,774360000
2024-03-18,38826.929688,38898.410156,38760.789063,38790.429688,38790.429688,327950000
2024-03-19,38819.609375,39122.710938,38761.28125,39110.761719,39110.761719,310610000
2024-03-20,39072.050781,39529.128906,38988.648438,39512.128906,39512.128906,350050000
2024-03-21,39661.03125,39889.050781,39589.230469,39781.371094,39781.371094,408990000
2024-03-22,39774.058594,39824.761719,39469.53125,39475.898438,39475.898438,332340000
2024-03-25,39410.539063,39430.171875,39296.03125,39313.640625,39313.640625,323670000
2024-03-26,39338.320313,39439.441406,39277.191406,39282.328125,39282.328125,306940000
2024-03-27,39461.980469,39769.410156,39461.980469,39760.078125,39760.078125,332190000
2024-03-28,39763.738281,39868.589844,39717.25,39807.371094,39807.371094,360970000
2024-04-01,39807.929688,39815.0,39491.21875,39566.851563,39566.851563,269470000
2024-04-02,39256.269531,39256.269531,39051.699219,39170.238281,39170.238281,319590000
2024-04-03,39139.589844,39305.761719,39017.128906,39127.140625,39127.140625,364180000
2024-04-04,39343.601563,39421.351563,38559.421875,38596.980469,38596.980469,356510000
2024-04-05,38664.980469,39040.171875,38602.179688,38904.039063,38904.039063,317110000
2024-04-08,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000
2024-04-09,38983.660156,38992.890625,38572.089844,38883.671875,38883.671875,328700000
2024-04-10,38662.28125,38662.28125,38304.660156,38461.511719,38461.511719,317580000
2024-04-11,38523.261719,38598.980469,38197.28125,38459.078125,38459.078125,356640000
2024-04-12,38319.140625,38319.140625,37877.300781,37983.238281,37983.238281,440910000
2024-04-15,38075.378906,38386.808594,37657.789063,37735.109375,37735.109375,389170000
2024-04-16,37992.21875,37992.21875,37713.699219,37798.96875,37798.96875,339480000
2024-04-17,37949.671875,38036.699219,37611.558594,37753.308594,37753.308594,314650000
2024-04-18,37847.210938,38083.761719,37681.519531,37775.378906,37775.378906,300230000
2024-04-19,37801.980469,38102.570313,37781.609375,37986.398438,37986.398438,420460000
2024-04-22,38116.890625,38447.160156,37985.070313,38239.980469,38239.980469,351650000
2024-04-23,38356.070313,38561.5,38297.71875,38503.691406,38503.691406,329420000
2024-04-24,38552.789063,38552.789063,38310.550781,38460.921875,38460.921875,337230000
2024-04-25,38052.089844,38157.21875,37754.378906,38085.800781,38085.800781,408170000
2024-04-26,38114.699219,38337.640625,38065.050781,38239.660156,38239.660156,398680000
2024-04-29,38282.160156,38406.199219,38215.46875,38386.089844,38386.089844,343630000
2024-04-30,38337.398438,38337.398438,37810.121094,37815.921875,37815.921875,448480000
2024-05-01,37845.558594,38349.199219,37780.539063,37903.289063,37903.289063,413540000
2024-05-02,38075.648438,38295.289063,37895.660156,38225.660156,38225.660156,355910000
2024-05-03,38709.359375,38808.519531,38518.28125,38675.679688,38675.679688,410530000
2024-05-06,38762.429688,38886.46875,38689.378906,38852.269531,38852.269531,315550000
2024-05-07,38858.941406,38977.609375,38840.398438,38884.261719,38884.261719,360930000
2024-05-08,38818.898438,39094.738281,38814.988281,39056.390625,39056.390625,292340000
2024-05-09,39064.269531,39413.660156,38988.851563,39387.761719,39387.761719,303270000
2024-05-10,39466.519531,39579.878906,39406.261719,39512.839844,39512.839844,289480000
2024-05-13,39591.28125,39647.390625,39403.050781,39431.511719,39431.511719,323370000
2024-05-14,39466.761719,39616.410156,39371.921875,39558.109375,39558.109375,320860000
2024-05-15,39615.101563,39935.039063,39615.101563,39908.0,39908.0,411190000
2024-05-16,39912.339844,40051.050781,39864.679688,39869.378906,39869.378906,400560000
2024-05-17,39911.71875,40010.878906,39858.859375,40003.589844,40003.589844,300260000
2024-05-20,39989.761719,40077.398438,39787.089844,39806.769531,39806.769531,272420000
2024-05-21,39804.398438,39905.800781,39778.730469,39872.988281,39872.988281,314120000
2024-05-22,39863.328125,39890.910156,39559.089844,39671.039063,39671.039063,258430000
2024-05-23,39694.949219,39694.949219,39025.511719,39065.261719,39065.261719,335640000
2024-05-24,39089.230469,39220.308594,39020.289063,39069.589844,39069.589844,249810000
2024-05-28,39028.988281,39028.988281,38706.140625,38852.859375,38852.859375,303340000
2024-05-29,38716.28125,38716.28125,38413.671875,38441.539063,38441.539063,292280000
2024-05-30,38368.351563,38493.601563,38000.960938,38111.480469,38111.480469,360090000
2024-05-31,38140.261719,38719.429688,38092.269531,38686.320313,38686.320313,618200000
2024-06-03,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2024-06-04,38518.859375,38786.621094,38397.820313,38711.289063,38711.289063,304450000
2024-06-05,38774.820313,38844.320313,38548.769531,38807.328125,38807.328125,310970000
2024-06-06,38825.398438,39004.160156,38735.988281,38886.171875,38886.171875,269000000
2024-06-07,38861.238281,39105.230469,38751.851563,38798.988281,38798.988281,265850000
2024-06-10,38784.898438,38877.859375,38665.449219,38868.039063,38868.039063,330580000
2024-06-11,38795.710938,38795.710938,38446.238281,38747.421875,38747.421875,383090000
2024-06-12,38950.648438,39120.261719,38621.449219,38712.210938,38712.210938,472280000
2024-06-13,38677.121094,38712.210938,38407.699219,38647.101563,38647.101563,341330000
2024-06-14,38528.390625,38595.238281,38305.851563,38589.160156,38589.160156,272200000
2024-06-17,38565.179688,38839.878906,38431.949219,38778.101563,38778.101563,346190000
2024-06-18,38779.121094,38936.929688,38727.671875,38834.859375,38834.859375,324260000
2024-06-20,38804.730469,39232.5,38778.460938,39134.761719,39134.761719,397010000
2024-06-21,39208.511719,39257.179688,39061.671875,39150.328125,39150.328125,818670000
