Date,close,volume,MACD,MACD_hist,MACD_signal,ADX,DMP,DMN,RSI,Stoch_D,Stoch_K,CCI,ROC,Momentum,BB_upper,BB_middle,BB_lower,ATR,OBV,A/D Line,VROC,Ultimate_Oscillator
1985-02-02,124,328105,-1.1683225502866605,,,,22.40668042248924,30.917692971963955,44.15440996896495,56.018518518518526,66.66666666666667,89.00343642611695,0.0,0.0,126.8724582991474,123.8,120.7275417008526,1.39696135139488,954901.0,-2641069.5,-29.095938367783553,
1985-02-04,123,679085,-1.1051705822171414,,,,19.739023537943332,27.2367462651883,40.33539039356842,64.81481481481482,72.22222222222223,60.215053763442214,-1.6,-2.0,126.73973683071408,123.7,120.66026316928593,1.4379019557530983,275816.0,-3320154.5,70.60765402385194,
1985-02-05,124,440523,-0.9633259282342834,,,50.86204184214858,18.549844074056566,25.59586573939147,45.314234091079136,72.22222222222223,77.77777777777777,65.5430711610494,-2.3622047244094486,-3.0,126.1938608132804,123.55,120.9061391867196,1.4086950923267394,716339.0,-2879631.5,-14.249257871429267,37.397064088793414
1985-02-06,124,279085,-0.84121600356697,,,45.56485891826374,23.512314575544682,24.03639998702055,45.31423409107912,75.92592592592592,77.77777777777777,130.46594982078898,-1.5873015873015872,-2.0,125.85624188310312,123.45,121.04375811689688,1.381883920138932,716339.0,-3158716.5,29.394119228879017,36.870748299319736
1985-02-07,123,584967,-0.8157314072769992,,,42.22519564708277,22.06458807092482,28.713715645238096,41.47899289341775,77.77777777777777,77.77777777777777,32.94117647058727,-3.1496062992125986,-4.0,125.02482393492977,123.25,121.47517606507023,1.3572164705683487,131372.0,-3743683.5,11.042204112779686,29.25170068027211
1985-02-08,124,535294,-0.706696679046658,,,39.3203077186278,20.69247985072033,26.928124854111477,46.26619767873282,75.92592592592592,72.22222222222223,60.869565217392996,-0.8,-1.0,124.82480768092707,123.2,121.57519231907294,1.3344742944735768,666666.0,-3208389.5,177.6277164047508,35.932055749128914
1985-02-09,123,343791,-0.6929891662844625,,,37.81611537405417,18.248317500941262,29.653337538971044,42.59813152658243,68.51851851851852,55.555555555555564,-60.869565217389535,-0.8064516129032258,-1.0,124.73429795177536,123.15,121.56570204822465,1.3762737802027376,322875.0,-2864598.5,-31.51041614786806,39.49477351916376
1985-02-11,123,734641,-0.6743523495473056,,,36.49162917020016,18.24831750094126,29.65333753897104,42.598131526582435,57.40740740740742,44.44444444444445,-28.57142857142776,-0.8064516129032258,-1.0,124.63622914957358,123.1,121.56377085042641,1.290927545345452,322875.0,-2864598.5,121.6960947331255,39.20634920634921
1985-02-13,124,186275,-0.5722938481202249,0.26549487572207575,-0.8377887238423006,35.319498733396586,16.049681681949846,26.080575827516736,47.23350162334646,48.14814814814816,44.44444444444445,7.291666666665035,0.0,0.0,124.63622914957358,123.1,121.56377085042641,1.3343769920588435,509150.0,-2678323.5,25.0,56.74603174603175
1985-02-14,124,664706,-0.48581161653923743,0.2815816858424506,-0.767393302381688,34.277572311524544,15.07187618196923,24.491651449316283,47.23350162334646,48.14814814814815,55.555555555555564,50.555555555555344,0.0,0.0,124.63622914957358,123.1,121.56377085042641,1.3141160270552086,509150.0,-2013617.5,22.2355647666107,56.74603174603175
1985-02-15,124,216993,-0.41251856767618733,0.2838997877644006,-0.6964183554405879,33.34771639743774,14.143893817086296,22.98368917856629,47.233501623346456,55.555555555555564,66.66666666666667,39.99999999999864,0.0,0.0,124.63622914957358,123.1,121.56377085042641,1.2952822479324684,509150.0,-1796624.5,-52.70670235210015,65.45918367346938
1985-02-16,124,110458,-0.35039417249657845,0.27681934635520766,-0.6272135188517861,32.514943274066106,11.797196139433412,19.170328394276392,47.23350162334646,62.96296296296297,66.66666666666667,33.33333333333425,1.639344262295082,2.0,124.69666295470944,123.2,121.70333704529057,1.3964859810865302,509150.0,-1759805.1666666667,-85.69002260670169,68.33333333333334
1985-02-18,124,495425,-0.29772811732740934,0.2635883212195015,-0.5613164385469108,31.766756665359036,11.797196139433415,19.170328394276396,47.23350162334646,66.66666666666667,66.66666666666667,87.78877887789065,1.639344262295082,2.0,124.72828568570843,123.3,121.87171431429157,1.3143503516729413,509150.0,-1759805.1666666667,-29.422717216483537,67.78177937841804
1985-02-19,123,159477,-0.33284470524526455,0.18277738664131704,-0.5156220918865816,32.200115645988014,11.086120403685369,24.042335058232144,42.76996359073554,62.96296296296297,55.555555555555564,-106.27062706270509,0.819672131147541,1.0,124.65766968306204,123.35,122.04233031693795,1.2960231134100129,349673.0,-1759805.1666666667,-33.87526122002189,65.22366522366521
1985-02-21,123,780392,-0.35656459942312324,0.1272459939707667,-0.48381059339388993,33.41454745807861,10.410367670787661,28.672322628262958,42.76996359073554,55.555555555555564,44.44444444444445,-135.08771929824417,0.819672131147541,1.0,124.5661903789689,123.4,122.23380962103111,1.278906490200859,349673.0,-979413.1666666669,148.23286542676198,68.17757405992701
1985-02-22,124,517647,-0.2913130680875753,0.15399802024505171,-0.445311088332627,32.77125315234699,15.929091288225138,26.90610682916333,48.19444490675901,48.14814814814816,44.44444444444445,36.84210526315703,0.8130081300813008,1.0,124.62898261225499,123.45,122.27101738774502,1.2629047471873494,867320.0,-461766.166666667,-30.95029432832715,69.64285714285714
1985-02-23,124,241830,-0.23687026640772046,0.16675265753992524,-0.4036229239476457,32.18761087363628,15.929091288225136,26.906106829163328,48.194444906759,48.14814814814815,55.555555555555564,85.55555555555455,1.639344262295082,2.0,124.54498743710641,123.55,122.55501256289358,1.1909782523050652,867320.0,-461766.166666667,-74.69222107338555,67.00680272108845
1985-02-25,124,239216,-0.1915162734516258,0.16968532039681594,-0.36120159384844175,32.51666599784119,14.866973175599085,31.779853011815124,48.194444906758996,55.555555555555564,66.66666666666667,43.20987654320783,0.8130081300813008,1.0,124.57979589711306,123.6,122.62020410288693,1.1801765321979247,867320.0,-222550.16666666704,-76.27994927104395,69.1156462585034
1985-02-26,124,712418,-0.1537999966518271,0.16592127775729176,-0.31972127440911885,32.816290917105334,13.870943024849227,29.65072481522166,48.194444906759,62.96296296296297,66.66666666666667,38.53211009174469,0.8130081300813008,1.0,124.60393920141674,123.65,122.69606079858328,1.1700521721037087,867320.0,489867.83333333285,98.18180300825922,76.11111111111111
1985-02-27,127,611111,0.11681873869449078,0.3492320104828877,-0.23241327178839694,30.925022537088868,29.196335370004384,24.374816694660183,61.600170492210616,70.37037037037038,77.77777777777777,324.0740740740757,3.252032520325203,4.0,125.55587221092307,123.85,122.14412778907692,1.2722466652467435,1478431.0,1100978.8333333328,12.922782976333023,81.7545199898141
1985-02-28,128,1505229,0.4072827764878184,0.5117568386209723,-0.10447406213315388,31.08651754345464,33.41714170371039,16.843682039215654,64.79652316695031,75.0,80.55555555555556,271.17117117116925,3.225806451612903,4.0,126.53797106092486,124.05,121.56202893907513,1.5902574013024395,2983660.0,1746076.9761904757,358.76441992654793,81.37877160433551
1985-03-02,129,760784,0.7099849966793101,0.6515672470499712,0.05841774962933893,31.23420349475558,31.900766026874695,16.079363236037317,67.63254964353459,81.94444444444444,87.5,233.33333333333024,4.878048780487805,6.0,127.59191301548938,124.35,121.1080869845106,1.557665645271731,3744444.0,2506860.9761904757,12.030747255498207,81.98057254938588
1985-03-04,129,926797,0.9390538586905421,0.7045088872489625,0.2345449714415796,31.85069337669468,35.073573313309744,15.33021059715935,67.63254964353459,83.79629629629629,83.33333333333333,178.4860557768921,4.032258064516129,5.0,128.4157568056677,124.6,120.78424319433228,1.5270332652076517,3744444.0,1580063.976190476,110.38560983194975,76.37437750219705
1985-03-05,129,853595,1.107822296349596,0.6986218599264131,0.4092004364231829,32.41576090730191,33.39784136955775,14.597769583162163,67.63254964353459,86.11111111111113,87.5,134.09961685823797,4.032258064516129,5.0,129.10558456619057,124.85,120.59441543380942,1.498225523288248,3744444.0,726468.9761904762,205.85484708959635,71.70653907496013
1985-03-06,125,503922,0.908335205668223,0.3993078153960321,0.5090273902721909,31.500644717216872,23.65918590794012,35.85572145367391,49.156941210552766,80.55555555555556,70.83333333333333,11.78451178451191,1.6260162601626016,2.0,129.12013189239855,124.95,120.77986810760146,1.851965297870833,3240522.0,600488.4761904762,-13.854627696947007,60.07165248544559
1985-03-07,124,361438,0.6619184228760702,0.12231282608310334,0.5396055967929668,30.660245107049256,22.765564184192257,34.50142922500926,45.86012577940707,69.44444444444446,50.0,-34.47880870561311,0.0,0.0,129.12013189239855,124.95,120.77986810760146,1.8058160827616778,2879084.0,239050.47619047627,-32.47860054474737,56.354016354016345
1985-03-08,122,579739,0.3017694514819169,-0.19026891624883996,0.4920383677307569,30.63917233225927,21.052869687230018,39.42900496253975,40.18609164777319,47.22222222222223,20.833333333333332,-83.9383938393832,-0.8130081300813008,-1.0,129.18485705712564,124.9,120.61514294287436,1.8162909689925517,2299345.0,-340688.52380952373,68.63123234756,48.32787687788758
1985-03-09,122,1156209,0.016162485842826868,-0.380700705510344,0.3968631913531709,30.950303740502044,20.233232880617187,41.787173596242894,40.18609164777319,27.62345679012346,12.037037037037038,-108.88888888888846,-0.8130081300813008,-1.0,129.2443145085439,124.85,120.4556854914561,1.7724306343325726,2299345.0,815520.476190476,57.38421895864783,44.00307445061663
1985-03-11,123,135948,-0.12801576342818066,-0.41990316382508125,0.2918874003969006,30.594060665930616,23.443044095864376,40.105659560930945,44.023063579899414,14.660493827160499,11.111111111111109,-68.8034188034188,-0.8064516129032258,-1.0,129.25421149026394,124.8,120.34578850973604,1.7310812552057242,2435293.0,815520.476190476,-27.01758153268018,44.18148068822732
1985-03-12,122,222222,-0.3192891409091203,-0.48894123304481674,0.16965209213569643,30.61928296073171,22.469328177077564,42.59339419523326,41.238448602326315,12.654320987654325,14.814814814814815,-83.53909465020564,-1.6129032258064515,-2.0,129.30868744872112,124.7,120.09131255127889,1.6920830932736404,2213071.0,593298.476190476,-66.56837759851724,43.38259441707718
1985-03-13,123,815033,-0.38573649772855845,-0.4443108718914039,0.05857437416284545,30.642529448608382,21.507297774361117,40.769746427584245,44.90670778053041,14.814814814814818,18.518518518518515,-68.05555555555536,-0.8064516129032258,-1.0,129.30939910288865,124.65,119.99060089711136,1.6552882253377572,3028104.0,1408331.4761904757,275.6033604770661,47.61904761904763
1985-03-14,125,133987,-0.27385637560443854,-0.2659445998138272,-0.007911775790611348,29.40577001827422,28.134550537005566,37.32749756898569,51.30621695881404,19.75308641975309,25.925925925925924,-12.130479102955956,0.8064516129032258,1.0,129.35188133984516,124.7,120.04811866015486,1.6735571332312364,3162091.0,1542318.4761904757,21.301309094859583,57.342104677308036
1985-03-15,125,320261,-0.1830801388906167,-0.14013469048000426,-0.042945448410612416,28.264669329606285,28.134550537005563,37.32749756898569,51.30621695881403,27.160493827160497,37.03703703703703,-5.185185185185331,0.8064516129032258,1.0,129.392197755374,124.75,120.10780224462599,1.5851276466882889,3162091.0,1542318.4761904757,-35.35631023868396,61.11111111111111
1985-03-16,129,747712,0.2092155467272363,0.20172879611027897,0.007486750616957329,27.430084940096076,42.267531055734565,29.98671281222955,61.27463506048385,40.74074074074074,59.25925925925926,85.71428571428564,4.878048780487805,6.0,129.9683330509431,125.05,120.13166694905688,1.7650560457112507,3909803.0,1916174.4761904757,368.8525618114211,72.15412138881527
1985-03-18,129,978431,0.5141854936161252,0.4053589943993343,0.10882649921679091,26.659348927568544,38.96649945579648,27.644794935812484,61.27463506048385,56.79012345679013,74.07407407407406,94.09627611262468,4.878048780487805,6.0,130.45979451641642,125.35,120.24020548358357,1.7774019523047118,3909803.0,1916174.4761904757,25.37686188479636,67.00140373609761
1985-03-19,130,439216,0.8270344777186267,0.5745663828014687,0.25246809491715805,24.980720450530665,33.355669108481166,30.863746207965875,63.35282858123633,75.30864197530865,92.5925925925926,85.19527702088965,4.838709677419355,6.0,131.1006880299646,125.65,120.19931197003541,1.8938988430276886,4349019.0,2355390.4761904757,-15.151444903573285,71.6082659478886
1985-03-20,131,1700654,1.142491266087049,0.7120185369359127,0.43047272915113627,24.190633038496937,38.15104646338125,28.64295251594161,65.31231466268002,86.6442199775533,93.26599326599326,136.86477174849242,5.645161290322581,7.0,131.865151319446,126.0,120.134848680554,1.899446710561279,6049673.0,2355390.4761904757,603.2436008766489,72.45239544387444
1985-03-21,132,1359477,1.4563962567906685,0.8207388221116257,0.6356574346790428,23.805174954053307,37.64937318956245,25.660333299598605,67.16061737938738,93.35016835016836,94.19191919191918,138.76898481215036,6.451612903225806,8.0,132.73719180710188,126.4,120.06280819289813,1.9568615696772647,7409150.0,2808549.4761904757,468.3052136980804,71.11111111111111
1985-03-22,132,579085,1.6857361069796468,0.8400629378404831,0.8456731691391637,23.448691201787977,36.292737660444764,24.735703833180608,67.16061737938738,92.95735129068463,91.41414141414141,110.19849418206684,6.451612903225806,8.0,133.48131723539595,126.8,120.11868276460405,1.9070510195983013,7409150.0,3387634.4761904757,-18.71555743959305,72.82834812246577
1985-03-23,130,147059,1.6866634983586977,0.6727922633756271,1.0138712349830705,22.599142013107556,33.67890333496053,26.555260273035664,60.06774867072711,90.57239057239057,86.11111111111113,76.64399092970518,2.3622047244094486,3.0,133.77568677863255,126.95,120.12431322136747,1.911879659161558,7262091.0,3240575.4761904757,-75.93579562469012,67.1400724032303
1985-03-25,131,494118,1.7479409303695377,0.5872557563091736,1.160685174060364,21.319380628833517,31.254755421064807,28.242771185600088,62.17048314468891,86.95286195286197,83.33333333333333,61.60000000000031,2.34375,3.0,134.13988636271912,127.1,120.06011363728085,1.9164485476300661,7756209.0,3734693.4761904757,-67.17323410590681,69.6334089191232
1985-03-26,130,644444,1.6962586798894819,0.4284588046632942,1.2677998752261876,20.134843791668796,30.08859636240386,27.18899351189676,58.905414971261266,82.15488215488216,77.02020202020202,55.085374907201405,0.7751937984496124,1.0,134.2570387644925,127.15,120.04296123550752,1.869019924522449,7111765.0,3090249.4761904757,-15.2921197080906,67.38473167044597
1985-03-27,129,624837,1.55666422518415,0.23109147996636992,1.3255727452177801,19.24207886044431,27.85044953401053,32.60505617167233,55.81959162260771,77.86195286195286,73.23232323232322,11.60558464223343,0.0,0.0,134.2570387644925,127.15,120.04296123550752,1.8757866284465763,6486928.0,3715086.4761904757,-32.58102907109108,59.17954226224903
1985-03-28,129,454248,1.4295555871650407,0.08318627355780839,1.3463693136072323,18.831356849182733,25.784894864594314,33.89516846967878,55.8195916226077,72.3063973063973,66.66666666666667,-10.161920714684104,0.0,0.0,134.2570387644925,127.15,120.04296123550752,1.882193102220218,6486928.0,4169334.4761904757,-46.78413064743819,64.9677908298598
1985-03-29,128,62092,1.2339057358718435,-0.08997086218831107,1.3238765980601546,18.450948009569004,23.877754530647135,31.38816414587131,52.75726904169546,65.71268237934905,57.23905723905724,-41.46005509641856,2.4,3.0,134.34556598152332,127.3,120.25443401847666,1.888259590406219,6424836.0,4169334.4761904757,-87.67825179293621,62.380952380952394
1985-03-30,131,694118,1.3058734508316263,-0.014402517782822644,1.320275968614449,17.16559445657155,28.444516192543013,28.038177957790708,59.733294128949524,61.64421997755332,61.02693602693603,42.22222222222323,5.645161290322581,7.0,134.70053189482886,127.65,120.59946810517116,1.945423399705815,7118954.0,4863452.476190476,92.04344866892801,66.22778143515471
1985-04-01,130,462745,1.2676045841951975,-0.04213710753540112,1.3097416917305986,17.19025832299884,33.51755920316631,23.530597481849167,56.79086080551507,58.249158249158256,56.48148148148149,65.49707602339139,6.557377049180328,8.0,134.6674013026262,128.05,121.43259869737382,2.1022621106491295,6656209.0,4585805.476190476,-20.18046051757774,60.52542229012817
1985-04-02,129,238562,1.143404137865275,-0.1330700430922589,1.276474180957534,17.213113714025734,32.395806370701166,22.743084458753863,53.99129730739244,57.225028058361396,54.166666666666664,-54.396728016359425,5.737704918032787,7.0,134.41331855134905,128.4,122.38668144865095,2.045741977050228,6417647.0,4585805.476190476,-79.36687917149926,53.794642857142854
1985-04-03,131,391503,1.192610008827728,-0.06709133770384468,1.2597013465315727,17.92363878666629,36.94133347123641,21.2138996374113,58.31718555793686,53.54938271604939,50.0,21.212121212121627,6.504065040650406,8.0,134.37135531087355,128.8,123.22864468912648,2.043399479137343,6809150.0,4977308.476190476,187.9799629270015,59.70303375587523
1985-04-04,130,539216,1.1377985401079513,-0.09752224513889729,1.2353207852468486,18.891021148891408,37.823059159759545,19.781529783808168,55.567382156711034,50.5952380952381,47.61904761904762,37.19806763284979,6.557377049180328,8.0,133.83033476111595,129.2,124.56966523888404,2.041179631671541,6269934.0,4438092.476190476,142.64744264744266,53.34733893557423
1985-04-06,130,273203,1.08188871657984,-0.122745654933607,1.204634371513447,19.22528525979675,36.49616411941714,22.595725479194048,55.56738215671104,49.00793650793651,49.404761904761905,-27.053140096618154,5.691056910569106,7.0,133.20923489270623,129.55,125.8907651072938,1.9879852840911019,6269934.0,4711295.476190476,-66.47951678030215,52.43021346469623
1985-04-08,129,1067320,0.9459834278717096,-0.20692075491339001,1.1529041827850997,19.535203640114247,35.167526852238204,21.773131552545482,52.80832757810104,45.03968253968255,38.095238095238095,-40.656565656564815,3.2,4.0,132.7748966924506,129.75,126.72510330754939,1.937563643105542,5202614.0,3643975.4761904757,696.5847432959914,49.576719576719576
1985-04-09,129,423529,0.8287244873981479,-0.2593437563095615,1.0880682437077094,19.82258086365444,35.167526852238204,21.773131552545486,52.80832757810105,40.277777777777786,33.333333333333336,-55.238095238096236,3.2,4.0,132.09242852856252,129.95,127.80757147143747,1.8387826707587822,5202614.0,3643975.4761904757,32.24495021248294,41.849816849816854
1985-04-10,129,223529,0.727410793438537,-0.28852596021533805,1.015936753653875,19.475051502679204,33.742868982798534,24.942149499231007,52.808327578101036,33.333333333333336,28.571428571428573,-70.47619047619025,0.0,0.0,132.09242852856252,129.95,127.80757147143747,1.7960617623776494,5202614.0,3867504.4761904757,-70.10493345031242,53.362637362637365
1985-04-11,133,1749673,0.9588327050834096,-0.04568323885637238,1.004515943939782,20.554931517224848,42.02623888017779,20.475701931156937,61.68413987112826,36.50793650793651,47.61904761904762,126.31578947368463,3.10077519379845,4.0,132.62184141886135,130.15,127.67815858113865,1.9590929062347857,6952287.0,5617177.476190476,78.82436267861505,69.81447124304268
1985-04-12,133,2841830,1.1292193001888506,0.099762684999255,1.0294566151895956,22.292747663751985,46.43342336953905,17.738974518355636,61.684139871128245,45.5026455026455,60.31746031746032,217.05426356589032,2.3076923076923075,3.0,133.0640549922168,130.3,127.53594500778324,2.0628518792074955,6952287.0,4196262.476190476,547.0233324833339,58.35622346825271
1985-04-13,130,494771,1.0105282359530463,-0.015142703389239509,1.0256709393422858,22.85559070757658,41.90916218046098,22.506265891555987,53.34617470670805,56.613756613756614,61.904761904761905,38.888888888888346,-0.7633587786259542,-1.0,132.99772633280654,130.25,127.50227366719346,2.1104561779219457,6457516.0,3701491.4761904757,-70.90701577157964,54.226190476190474
1985-04-15,128,381699,0.746476510572279,-0.22335554301600546,0.9698320535882845,22.46174140174119,39.169137951271985,27.572812155429073,48.72430836792985,53.086419753086425,37.03703703703704,-80.85106382978907,-3.0303030303030303,-4.0,132.84105714739033,130.05,127.2589428526097,2.1048498053395672,6075817.0,3319792.4761904757,-71.9230998391293,46.82377049180327
1985-04-16,129,603268,0.6108636031021888,-0.28717476038887657,0.8980383634910654,22.096352380607307,36.59267298046167,25.75912953740534,50.96048775523324,39.307760141093475,18.98148148148148,-69.69696969697003,-2.272727272727273,-3.0,132.57581763205167,129.9,127.22418236794833,2.0995320158697237,6679085.0,3319792.4761904757,4.176070870424894,48.57854432095419
1985-04-17,130,545098,0.5774248453623443,-0.25649081450297695,0.8339156598653212,21.757345189318766,35.34093633113532,24.87797919034183,53.1128972785841,24.074074074074076,16.203703703703706,-24.08602150537617,0.0,0.0,132.57581763205167,129.9,127.22418236794833,2.043805792853349,7224183.0,3864890.4761904757,270.66619520056577,49.14910226385636
1985-04-18,129,520261,0.46487396855351903,-0.29523335304944176,0.7601073216029608,21.442796186313775,34.085281137431636,23.99407041422703,50.76737343353179,17.283950617283953,16.666666666666668,-39.548022598868414,-1.5267175572519085,-2.0,132.45329983228407,129.8,127.14670016771595,1.9909399152593492,6703922.0,3344629.4761904757,5.290841458922768,46.64815471267084
1985-04-19,129,155556,0.3713953731214872,-0.31096955878517896,0.6823649319066661,21.150924595358173,32.829145302704134,23.109823294575538,50.76737343353178,16.512345679012352,16.666666666666668,-41.8390804597685,-0.7692307692307693,-1.0,132.42394839142395,129.75,127.07605160857607,1.940784010878603,6703922.0,3189073.4761904757,-75.86198335309197,33.06717912629242
1985-04-20,129,230719,0.29392473142260656,-0.31075216038724773,0.6046768918098543,20.880081536576977,31.575971993787633,22.22766162208894,50.76737343353178,15.27777777777778,12.5,-37.52913752913686,0.0,0.0,132.42394839142395,129.75,127.07605160857607,1.893195963012178,6703922.0,2958354.4761904757,-63.07533004607602,29.33697881066302
1985-04-22,129,453595,0.2298787901323749,-0.29983848134198354,0.5297172714743584,20.62873994865357,31.575971993787636,22.22766162208894,50.767373433531795,13.888888888888891,12.5,-55.72139303482581,0.0,0.0,132.42394839142395,129.75,127.07605160857607,1.7974875222375555,6703922.0,2958354.4761904757,-0.14375407266515208,33.71616078753076
1985-04-23,129,541830,0.17708064478949836,-0.2821093013478881,0.45918994613738645,20.395485323228264,31.575971993787633,22.227661622088938,50.76737343353179,12.5,12.5,-51.09489051094931,0.78125,1.0,132.37681974534476,129.8,127.22318025465525,1.7066678215751812,6703922.0,2958354.4761904757,772.624492688269,37.73873185637892
1985-04-24,129,234641,0.13369656345489034,-0.2603947061459969,0.39409126960088725,18.95496561400244,28.827203756565286,28.997940412232595,50.76737343353178,13.580246913580249,15.74074074074074,-90.37558685446072,-1.5267175572519085,-2.0,132.23771550808962,129.7,127.16228449191034,1.7214809076944448,6703922.0,3192995.4761904757,-66.19580532416678,49.378881987577635
1985-04-25,129,343137,0.0981825787801256,-0.23672695265660937,0.33490953143673496,17.618002003910618,28.827203756565282,28.997940412232595,50.76737343353179,15.740740740740742,18.98148148148148,-44.36619718309852,-0.7692307692307693,-1.0,132.20147016443437,129.65,127.09852983556564,1.6345906195941828,6703922.0,3192995.4761904757,-25.847497001588348,43.51882367853974
1985-04-26,129,499346,0.06923934202606574,-0.2125361515285354,0.28177549355460113,16.37710604919086,28.827203756565282,28.997940412232598,50.767373433531795,18.981481481481485,22.22222222222222,-46.66666666666836,0.0,0.0,132.20147016443437,129.65,127.09852983556564,1.552125146183445,6703922.0,3192995.4761904757,109.31497891533438,48.85327438518927
1985-04-27,129,686275,0.045773964603085915,-0.18880122316121217,0.2345751877642981,15.225336892203607,28.827203756565282,28.997940412232598,50.76737343353179,21.141975308641978,22.22222222222222,-42.42424242424264,-1.5267175572519085,-2.0,132.0379710609247,129.55,127.06202893907532,1.4738553143681925,6703922.0,3192995.4761904757,75.29239878110768,53.48272642390289
1985-04-29,125,255556,-0.2922205500685209,-0.4214365902662552,0.1292160401977343,16.21416834879194,23.357370632685036,42.470264008947716,39.65343037873222,19.75308641975309,14.814814814814815,-343.04635761588594,-3.8461538461538463,-5.0,132.4685959035508,129.3,126.13140409644923,1.6011881041102487,6448366.0,2937439.4761904757,-52.606005756505745,32.317927170868344
1985-04-30,125,624183,-0.5537009185426598,-0.5463335669923153,-0.0073673515503445116,18.09149254183887,19.39431107042255,47.98960449056912,39.65343037873222,18.981481481481485,19.90740740740741,-297.5845410628007,-3.8461538461538463,-5.0,132.70923489270626,129.05,125.39076510729377,1.7220534917297448,6448366.0,3249530.9761904757,128.4685746496195,46.53968253968254
1985-05-01,125,467320,-0.7522544731187537,-0.5959096972547273,-0.15634477586402637,19.834127269364323,17.770755264698945,43.97225111812239,39.65343037873221,19.90740740740741,25.0,-187.81893004115088,-3.10077519379845,-4.0,132.91324993078186,128.85,124.78675006921812,1.7360525744697608,6448366.0,3716850.9761904757,-56.21556796462167,54.47619047619048
1985-05-02,125,1045752,-0.8992436743038041,-0.5943191187518222,-0.30492455555198195,21.451775408532697,17.770755264698945,43.97225111812239,39.65343037873222,27.46913580246914,37.5,-116.66666666666617,-3.10077519379845,-4.0,133.04431450854386,128.65,124.25568549145616,1.6486463697273592,6448366.0,3716850.9761904757,146.91390672185375,49.70238095238095
